accelerometer_X,accelerometer_Y,accelerometer_Z
-0.1005559999999999,0.225055,9.768343
-0.1005559999999999,0.225055,9.753978
-0.0957679999999999,0.225055,9.787497
-0.110133,0.21069,9.758766
-0.11971,0.234632,9.758766
-0.105345,0.21069,9.763555
-0.110133,0.234632,9.782708
-0.105345,0.23942,9.739613
0.3926489999999999,-0.071826,9.768343
0.387861,-0.062249,9.753978
0.440533,0.033519,9.734824
0.42138,-0.052672,9.749189
0.426168,-0.019154,9.734824
0.45011,-0.105345,9.773131
0.3304,0.057461,9.739613
0.378284,-0.014365,9.744401
0.45011,-0.014365,9.77792
0.488417,-0.062249,9.749189
0.3734949999999999,-0.0478839999999999,9.749189
0.3734949999999999,-0.014365,9.787497
0.430956,0.009577,9.773131
0.416591,-0.038307,9.753978
0.435745,-0.033519,9.749189
0.411803,0.02873,9.739613
0.42138,-0.0909799999999999,9.730036
0.3926489999999999,-0.019154,9.753978
0.3926489999999999,-0.033519,9.763555
0.387861,-0.0430959999999999,9.734824
0.3830719999999999,-0.019154,9.725247
0.411803,0.019154,9.744401
0.320823,-0.1005559999999999,9.758766
0.344765,-0.009577,9.753978
0.3734949999999999,0.009577,9.758766
0.416591,-0.033519,9.753978
0.368707,-0.014365,9.768343
0.378284,-0.0239419999999999,9.730036
0.560243,-0.205901,9.797073
0.268151,0.086191,9.725247
0.440533,0.033519,9.734824
0.42138,-0.052672,9.749189
0.426168,-0.019154,9.734824
0.45011,-0.105345,9.773131
0.3304,0.057461,9.739613
0.378284,-0.014365,9.744401
0.45011,-0.014365,9.77792
0.488417,-0.062249,9.749189
0.3734949999999999,-0.0478839999999999,9.749189
0.3734949999999999,-0.014365,9.787497
0.430956,0.009577,9.773131
0.416591,-0.038307,9.753978
0.435745,-0.033519,9.749189
0.411803,0.02873,9.739613
0.42138,-0.0909799999999999,9.730036
0.3926489999999999,-0.019154,9.753978
0.3926489999999999,-0.033519,9.763555
0.387861,-0.0430959999999999,9.734824
0.3830719999999999,-0.019154,9.725247
0.411803,0.019154,9.744401
0.320823,-0.1005559999999999,9.758766
0.344765,-0.009577,9.753978
0.3734949999999999,0.009577,9.758766
0.416591,-0.033519,9.753978
0.368707,-0.014365,9.768343
0.378284,-0.0239419999999999,9.730036
0.560243,-0.205901,9.797073
0.268151,0.086191,9.725247
0.368707,-0.004788,9.77792
0.411803,-0.057461,9.77792
0.426168,-0.019154,9.734824
0.45011,-0.105345,9.773131
0.3304,0.057461,9.739613
0.378284,-0.014365,9.744401
0.45011,-0.014365,9.77792
0.488417,-0.062249,9.749189
0.3734949999999999,-0.0478839999999999,9.749189
0.3734949999999999,-0.014365,9.787497
0.430956,0.009577,9.773131
0.416591,-0.038307,9.753978
0.435745,-0.033519,9.749189
0.411803,0.02873,9.739613
0.42138,-0.0909799999999999,9.730036
0.3926489999999999,-0.019154,9.753978
0.3926489999999999,-0.033519,9.763555
0.387861,-0.0430959999999999,9.734824
0.3830719999999999,-0.019154,9.725247
0.411803,0.019154,9.744401
0.320823,-0.1005559999999999,9.758766
0.344765,-0.009577,9.753978
0.3734949999999999,0.009577,9.758766
0.416591,-0.033519,9.753978
0.368707,-0.014365,9.768343
0.378284,-0.0239419999999999,9.730036
0.560243,-0.205901,9.797073
0.268151,0.086191,9.725247
0.368707,-0.004788,9.77792
0.411803,-0.057461,9.77792
0.469264,-0.076614,9.80665
